"District","IRN","District Square Mileage FY17","District Pupil Density FY17","District Total Average Daily Membership FY17","District Total Year-End Enrollment FY17","District Asian Students As % Of Total FY17","District Pacific Islander Students As % Of Total FY17","District Black Students As % Of Total FY17","District American Indian/ Alaskan Native Students As % Of Total FY17","District Hispanic Students As % Of Total FY17","District White Students As % Of Total FY17","District Multiracial Students As % Of Total FY17","District Percent Of Disadvantaged Students  FY17","District Percent Of Students With Limited English Proficiency FY17","District Percent Of Students With Disability FY17","District Classroom Teacher Average Salary FY17","District Percent Of Teachers With 0-4 Years Experience FY17","District Percent Of Teachers With 4-10 Years Experience FY17","District Percent Of Teachers With 10+ Years Experience FY17","District FTE Number Of Administrators FY17","District Administrator Average Salary FY17","District Pupil Administrator Ratio FY17","District Assessed Valuation Per Pupil FY18","District Res/Agr Real Valuation As % Of Total FY18","District All Other Real Valuation As % Of Total FY18","District Public Utility Tangible Valuation As % Of Total FY18","District Business Valuation As % Of Total FY18","District Per Pupil Revenue Raised By 1 Mill Of Property Tax FY18","District Total Property Tax Per Pupil FY18","District Rollback Homestead Per Pupil FY17","District OSFC 3-Year Valuation Per Pupil FY18","District Ranking Of OSFC Valuation Per Pupil FY18","District Median Income TY15","District Average Income TY15","District Current Operating Millage Incl JVS FY18","District Class 1 Effective Millage Incl JVS FY18","District Class 2 Effective Millage Incl JVS FY18","District Inside Millage FY18","District Income Tax Per Pupil FY17","District Local Tax Effort Index FY17","District Administrative Expenditure Per Pupil FY17","District Building Operation Expenditure Per Pupil FY17","District Instructional Expenditure Per Pupil FY17","District Pupil Support Expenditure Per Pupil FY17","District Staff Support Expenditure Per Pupil FY17","District Total Expenditure Per Pupil FY17","District State Revenue Per Pupil FY17","District State Revenue As % Of Total FY17","District Local Revenue Per Pupil FY17","District Local Revenue As % Of Total FY17","District Other Non-Tax Revenue Per Pupil FY17","District Othe Non-Tax Revenue as % of Total FY17","District Federal Revenue Per Pupil FY17","District Federal Revenue As % Of Total FY17","District Total Revenue Per Pupil FY17","District Formula Funding Per Pupil FY17","District Formula Funding As % Of Income Tax Liability FY17","District Salaries As % Of Operating Expenditures FY17","District Fringe Benefits As % Of Operating Expenditures FY17","District Purchased Services As % Of Operating Expenditures FY17","District Supplies & Materials As % Of Operating Expenditures FY17","District Other Expenses As % Of Operating Expenditures FY17"
"Coshocton City SD, Coshocton","43828.0","9.0","191.83","1726.46","1476.8","0.0058","0.0","0.0299","0.0","0.014","0.9013","0.049","0.9997","0.0007","0.1935","55184.42","0.1927","0.2018","0.6055","11.2","74489.17","148.46","94918.27","0.6327","0.3095","0.0578","0.3673","94.92","3444.91","410.81","91516.79","96.0","24968.0","42628.0","57.63","33.49","38.04","4.6","0.0","0.9886","1680.4","1863.07","7153.03","428.74","230.41","11355.67","8420.46","0.6012","3272.99","0.2337","810.93","0.0579","1501.39","0.1072","14005.78","6098.44","2.7134","0.5102","0.233","0.2039","0.0305","0.0225"
"Coventry Local SD, Summit","49999.0","13.0","115.2","1497.59","1994.33","0.0183","0.0008","0.0432","0.0008","0.0216","0.8811","0.0343","0.4363","0.0153","0.1602","57195.21","0.0847","0.1525","0.7627","11.0","97025.36","131.93","195093.32","0.8008","0.1545","0.0447","0.1992","195.09","8604.5","1125.28","136111.04","307.0","34850.0","52248.0","77.58","41.59","47.44","5.6","0.0","1.2422","1401.98","1752.07","5618.93","557.0","99.27","9429.26","3057.34","0.251","5358.11","0.4398","3061.91","0.2513","704.69","0.0578","12182.05","5256.89","1.1256","0.5226","0.2397","0.212","0.0125","0.0132"
"Covington Ex Vill SD, Miami","45336.0","35.0","23.03","806.17","770.44","0.0013","0.0","0.0031","0.0","0.0128","0.95","0.0328","0.3497","0.0","0.091","53652.03","0.2712","0.2203","0.5085","5.7","83089.96","131.95","130049.9","0.8497","0.1098","0.0405","0.1503","130.05","3035.58","387.73","126714.51","246.0","33769.0","53720.0","35.3","22.27","27.23","3.9","2535.07","1.5917","1630.75","2332.24","6595.3","575.73","255.22","11389.26","6107.82","0.439","5508.58","0.3959","1676.61","0.1205","620.26","0.0446","13913.27","5496.9","1.7764","0.5508","0.1986","0.2041","0.0315","0.015"
"Crestline Ex Vill SD, Crawford","45344.0","20.0","39.27","785.4","593.1","0.0084","0.0","0.0113","0.0021","0.0054","0.8882","0.0846","0.9928","0.0017","0.1601","46107.39","0.2075","0.1132","0.6792","6.3","59607.46","114.27","86959.63","0.7624","0.1537","0.0839","0.2376","86.96","3365.45","501.23","82262.02","73.0","27509.0","37948.0","64.75","33.28","51.36","3.8","254.04","1.2004","2014.71","2425.42","7351.21","425.04","447.49","12663.87","12089.0","0.6497","3965.11","0.2131","926.73","0.0498","1626.69","0.0874","18607.52","6800.99","3.6031","0.408","0.2586","0.2681","0.0205","0.0447"
"Crestview Local SD, Columbiana","46433.0","38.0","24.96","948.66","1268.29","0.0008","0.0016","0.0016","0.0","0.0062","0.9812","0.0087","0.3692","0.0","0.1046","50209.23","0.2637","0.2527","0.4835","12.2","56174.18","75.95","124589.43","0.825","0.0888","0.0862","0.175","124.59","2830.1","381.63","81041.02","68.0","32862.0","51175.0","30.3","22.0","22.0","3.2","1283.79","1.1922","1369.55","2111.37","5335.34","560.82","352.64","9729.76","4896.13","0.4411","2671.46","0.2407","2990.25","0.2694","542.31","0.0489","11100.15","7808.14","2.8401","0.5344","0.2177","0.1965","0.0417","0.0098"
"Crestview Local SD, Richland","49429.0","104.0","11.48","1193.84","1059.77","0.0009","0.0","0.0038","0.0009","0.009","0.9669","0.0185","0.3641","0.0","0.1045","47783.28","0.1786","0.1429","0.6786","12.5","58339.57","92.72","127332.53","0.8806","0.0337","0.0857","0.1194","127.33","3163.16","369.59","111613.6","170.0","32280.0","48025.0","46.1","22.75","25.38","4.2","0.0","1.0072","1413.57","2374.93","6083.41","382.28","282.2","10536.36","7646.42","0.6341","2833.92","0.235","728.15","0.0604","851.02","0.0706","12059.51","5898.86","2.6303","0.5252","0.218","0.2052","0.0401","0.0116"
"Crestview Local SD, Van Wert","50351.0","128.0","6.41","820.58","827.57","0.0014","0.0024","0.0079","0.0","0.0289","0.9291","0.0304","0.3469","0.0","0.1803","50800.04","0.274","0.2466","0.4795","6.0","82288.17","131.98","234555.77","0.7822","0.0111","0.2067","0.2178","234.56","5888.35","509.6","183900.62","483.0","35573.0","52610.0","36.7","22.0","27.76","5.2","1207.11","1.7683","1831.18","1720.93","7734.04","649.57","188.19","12123.97","5972.77","0.3762","6139.64","0.3867","3075.23","0.1937","690.5","0.0435","15878.14","5427.34","2.1596","0.5531","0.2239","0.1284","0.0372","0.0574"
"Crestwood Local SD, Portage","49189.0","74.0","23.75","1757.67","1744.91","0.0011","0.0","0.0033","0.0","0.0101","0.9644","0.0211","0.3308","0.0017","0.1207","53114.13","0.3333","0.1825","0.4841","18.0","69743.61","95.31","172333.8","0.8793","0.0701","0.0506","0.1207","172.33","5102.56","648.87","166583.95","437.0","36829.0","54626.0","49.63","28.54","28.6","5.2","0.0","0.8891","1709.25","2034.61","6799.16","739.33","89.99","11372.36","6771.44","0.5187","4097.18","0.3138","1367.83","0.1048","818.27","0.0627","13054.73","6166.04","1.4287","0.5628","0.245","0.1436","0.0356","0.0131"
"Crooksville Ex Vill SD, Perry","45351.0","45.0","21.15","951.96","1100.67","0.0009","0.0","0.0072","0.0004","0.0014","0.9829","0.0073","1.0","0.0","0.1574","53129.47","0.1923","0.1667","0.641","9.6","81271.15","96.04","82532.04","0.6426","0.0969","0.2606","0.3574","82.53","1921.58","215.49","66641.37","34.0","30782.0","39874.0","26.6","22.0","22.87","4.2","0.0","0.6614","1521.86","2324.91","6416.49","337.58","444.07","11044.86","8984.99","0.681","1423.2","0.1079","1579.99","0.1197","1206.24","0.0914","13194.41","10194.36","6.6638","0.4881","0.2505","0.2053","0.0473","0.0088"
"Cuyahoga Falls City SD, Summit","43836.0","10.0","477.71","4777.11","4706.53","0.0457","0.0003","0.0442","0.0006","0.0211","0.8339","0.0543","0.461","0.0303","0.142","55341.83","0.4075","0.1647","0.4277","33.4","79932.9","143.03","152312.69","0.7728","0.2211","0.0061","0.2272","152.31","6423.89","792.68","152123.27","389.0","35157.0","50718.0","69.08","40.92","45.83","4.9","0.0","0.9079","984.9","1649.22","6577.09","1027.83","332.81","10571.86","4311.06","0.3532","5849.44","0.4792","1347.37","0.1104","698.34","0.0572","12206.21","3034.89","0.6495","0.5308","0.2296","0.2112","0.018","0.0104"
"Cuyahoga Heights Local SD, Cuyahoga","46557.0","11.0","67.11","738.23","742.93","0.0158","0.0","0.0165","0.0013","0.0349","0.922","0.0094","0.2349","0.0","0.0858","72368.1","0.2278","0.1266","0.6456","9.5","81820.21","76.37","471567.13","0.2815","0.5517","0.1668","0.7185","471.57","16477.64","584.66","439635.12","603.0","36524.0","59854.0","37.7","32.12","35.55","4.1","0.0","0.8858","3307.29","3460.72","9580.79","920.62","691.07","17960.59","5906.47","0.2689","14483.61","0.6594","1417.47","0.0645","158.22","0.0072","21965.77","584.91","0.1279","0.5459","0.1939","0.2134","0.0301","0.0166"
"Dalton Local SD, Wayne","50542.0","43.0","19.59","842.44","841.14","0.0107","0.0","0.0172","0.0","0.0304","0.926","0.0157","0.2179","0.0158","0.0776","50220.55","0.2031","0.1406","0.6563","8.6","62822.2","95.81","194146.23","0.8157","0.1544","0.0299","0.1843","194.15","4530.77","619.06","174669.57","460.0","32180.0","57415.0","45.7","22.0","26.07","4.0","1519.45","1.156","1356.69","1702.69","5708.5","448.77","632.19","9848.87","4286.43","0.3722","5214.85","0.4528","1272.12","0.1105","742.25","0.0645","11515.66","3861.63","0.9427","0.5421","0.2394","0.1708","0.0317","0.0161"
"Danbury Local SD, Ottawa","48934.0","21.0","23.46","492.7","524.18","0.0116","0.0","0.0002","0.0","0.0302","0.9369","0.0211","0.2942","0.0029","0.1665","73631.28","0.2162","0.1622","0.6216","9.0","83611.33","52.45","870967.81","0.8796","0.097","0.0233","0.1204","870.97","20458.76","1860.65","832283.82","608.0","33260.0","59451.0","47.35","22.91","23.04","5.1","0.0","2.7011","2825.59","2928.72","9243.69","1485.22","380.15","16863.49","3011.01","0.1423","15645.32","0.7395","1581.82","0.0748","919.55","0.0435","21157.71","1253.94","0.1979","0.5514","0.2074","0.178","0.0417","0.0215"
"Danville Local SD, Knox","47837.0","78.0","6.92","539.55","623.53","0.0016","0.0","0.0","0.0048","0.0323","0.9367","0.0246","0.4099","0.0062","0.1649","47151.63","0.3939","0.1364","0.4697","7.0","61619.14","71.85","150422.37","0.8973","0.0635","0.0393","0.1027","150.42","3506.12","395.34","110382.36","167.0","29407.0","44500.0","47.4","22.18","24.33","4.1","1760.86","2.2199","1613.35","2299.96","6141.75","1087.74","607.62","11750.46","6934.51","0.474","3953.82","0.2703","2397.92","0.1639","1342.59","0.0918","14628.84","7713.03","3.5492","0.5361","0.1968","0.2117","0.0386","0.0169"
"Dawson-Bryant Local SD, Lawrence","47928.0","48.0","21.54","1034.01","1079.05","0.0005","0.0","0.0074","0.0003","0.0032","0.9828","0.0059","0.9959","0.0003","0.1986","53837.27","0.1235","0.2099","0.6667","15.1","60948.25","64.83","77253.03","0.8843","0.0354","0.0803","0.1157","77.25","1705.77","259.01","61508.29","24.0","30370.0","45521.0","23.0","22.0","22.0","4.6","0.0","0.6649","1270.06","2334.6","7357.79","472.55","187.3","11622.27","10551.51","0.7201","1295.31","0.0884","1612.02","0.11","1194.93","0.0815","14653.77","10985.51","5.4114","0.523","0.1817","0.177","0.0795","0.0387"
"Dayton City SD, Montgomery","43844.0","49.0","464.54","22762.53","13325.08","0.0051","0.0005","0.6613","0.0011","0.0394","0.248","0.0446","1.0","0.0586","0.1951","45034.62","0.2177","0.1441","0.6382","134.0","64890.99","169.57","62522.4","0.6384","0.2891","0.0725","0.3616","62.52","3061.27","448.1","56894.34","17.0","23669.0","34666.0","67.55","41.14","61.58","4.48","0.0","1.1288","2350.86","3311.89","7733.88","1007.5","522.55","14926.67","14467.1","0.6492","4481.14","0.2011","589.68","0.0265","2746.48","0.1232","22284.39","4562.4","3.4451","0.3839","0.156","0.4201","0.0311","0.0089"
"Deer Park Community City SD, Hamilton","43851.0","2.0","651.69","1303.37","1184.0","0.0332","0.0013","0.0746","0.0009","0.0545","0.7504","0.0851","0.4302","0.0289","0.1404","61609.63","0.2125","0.2125","0.575","17.2","77270.5","73.89","191898.39","0.749","0.1981","0.0529","0.251","191.9","9491.45","921.53","184342.17","485.0","37462.0","49439.0","85.93","46.15","52.23","4.56","0.0","1.1785","2214.01","1928.45","7016.44","749.34","530.97","12439.17","4047.31","0.2779","8611.74","0.5913","1060.49","0.0728","844.29","0.058","14563.82","2323.03","0.474","0.5317","0.1931","0.2267","0.0352","0.0133"
"Defiance City SD, Defiance","43869.0","34.0","79.82","2713.83","2453.37","0.0047","0.0","0.0621","0.001","0.2442","0.6664","0.0217","0.5607","0.0029","0.1237","54811.5","0.2416","0.2022","0.5562","30.0","48285.47","87.89","90759.8","0.7786","0.1557","0.0657","0.2214","90.76","2919.34","377.47","86071.87","81.0","29316.0","47147.0","48.0","30.4","34.32","4.0","652.24","1.0841","1101.98","1685.14","6107.7","430.51","338.95","9664.3","7459.11","0.5726","3315.82","0.2545","1258.08","0.0966","994.35","0.0763","13027.36","5639.5","2.1444","0.5362","0.2095","0.2155","0.0329","0.006"
"Delaware City SD, Delaware","43877.0","36.0","157.57","5672.34","5451.27","0.0076","0.0006","0.0494","0.0015","0.0571","0.8257","0.0582","0.3337","0.0131","0.1426","62011.79","0.2822","0.2147","0.5031","33.0","89042.58","168.64","131049.18","0.7324","0.2302","0.0374","0.2676","131.05","5944.35","725.98","132599.59","290.0","38198.0","55728.0","69.19","43.62","47.03","4.4","0.0","1.0068","1319.63","1815.52","6065.59","569.33","224.73","9994.8","3832.83","0.3657","5417.66","0.5169","573.58","0.0547","656.44","0.0626","10480.52","2576.77","0.7216","0.5739","0.2365","0.1293","0.0257","0.0346"
"Delphos City SD, Allen","43885.0","53.0","19.27","1021.06","961.71","0.001","0.001","0.0077","0.0","0.0389","0.9139","0.0374","0.5037","0.0113","0.122","54923.49","0.2","0.1538","0.6462","5.2","102526.54","194.59","199155.29","0.7873","0.1653","0.0474","0.2127","199.16","4857.7","531.18","163207.85","424.0","32260.0","53225.0","45.15","21.16","33.82","4.7","0.0","0.6481","1407.93","1515.21","6752.99","615.81","125.02","10416.96","6003.73","0.4681","4554.54","0.3551","1345.65","0.1049","920.64","0.0718","12824.56","2759.81","0.5655","0.5201","0.1845","0.2551","0.0254","0.0149"
"Dover City SD, Tuscarawas","43893.0","36.0","78.07","2810.37","2770.89","0.0025","0.0","0.0169","0.001","0.1036","0.863","0.0131","0.3476","0.0646","0.1344","59466.1","0.1366","0.1429","0.7205","16.1","87492.86","168.23","132179.55","0.7502","0.2291","0.0206","0.2498","132.18","4996.12","544.6","124495.8","234.0","34177.0","63747.0","58.97","35.66","42.91","4.4","0.0","0.8661","1059.7","1340.13","6108.09","273.27","218.52","8999.72","3981.49","0.4228","4319.7","0.4587","484.99","0.0515","630.79","0.067","9416.97","2789.52","0.7105","0.5984","0.2441","0.0887","0.0278","0.041"
"Dublin City SD, Franklin","47027.0","42.0","363.32","15259.47","15146.16","0.2032","0.0007","0.0461","0.0006","0.0665","0.6273","0.0555","0.1554","0.09","0.1055","77438.52","0.2513","0.2893","0.4593","97.5","99156.21","155.48","203461.32","0.732","0.2442","0.0238","0.268","203.46","10574.81","1118.52","216197.56","540.0","54474.0","110275.0","81.2","49.08","57.8","4.4","0.0","0.6753","1453.91","2051.82","8040.87","792.46","534.64","12873.68","2300.3","0.1718","10102.47","0.7544","627.34","0.0468","362.06","0.027","13392.17","1175.35","0.1403","0.645","0.2075","0.1025","0.0286","0.0163"
"East Cleveland City SD, Cuyahoga","43901.0","4.0","646.36","2585.44","2159.5","0.0005","0.0","0.9932","0.0","0.0033","0.0008","0.0021","1.0","0.0","0.2718","68704.48","0.1773","0.2315","0.5911","23.0","103637.57","112.41","59582.71","0.6893","0.228","0.0827","0.3107","59.58","3578.64","506.13","49944.22","10.0","20912.0","30128.0","88.38","51.0","77.2","4.78","0.0","2.0304","4666.07","3547.2","9150.44","1103.37","1060.52","19527.59","16209.8","0.6374","3304.29","0.1299","2562.21","0.1007","3355.99","0.132","25432.29","10826.26","11.0435","0.4012","0.164","0.4074","0.0179","0.0095"
"East Clinton Local SD, Clinton","46409.0","129.0","10.28","1326.25","1308.11","0.0015","0.0","0.0023","0.0","0.0203","0.9536","0.0223","0.5189","0.0","0.1986","50255.82","0.2551","0.1837","0.5612","14.5","74340.41","88.66","139025.15","0.909","0.0588","0.0322","0.091","139.03","3153.7","384.82","114052.97","183.0","29570.0","45401.0","32.2","22.13","26.03","4.2","0.0","1.2825","1151.38","2028.51","5917.92","469.96","352.24","9919.97","7171.57","0.6079","2603.73","0.2207","1143.18","0.0969","879.71","0.0746","11798.2","6807.3","3.0843","0.5607","0.2033","0.1872","0.0329","0.0159"
"East Guernsey Local SD, Guernsey","69682.0","239.0","3.98","952.32","941.2","0.0","0.0","0.0","0.0021","0.0129","0.967","0.0181","0.4749","0.0","0.1569","49462.04","0.4583","0.0833","0.4583","10.5","66419.81","87.0","276071.63","0.5305","0.4122","0.0572","0.4695","276.07","6175.93","496.41","147739.05","363.0","32134.0","65124.0","26.5","22.07","22.18","3.3","0.0","0.7586","1777.36","2973.09","6960.73","822.16","915.66","13448.96","7288.09","0.4587","5461.68","0.3437","2183.84","0.1374","955.7","0.0601","15889.31","6497.78","1.683","0.4591","0.2662","0.1726","0.0521","0.05"
"East Holmes Local SD, Holmes","47688.0","149.0","10.39","1547.5","1611.85","0.0037","0.0","0.0049","0.0006","0.0127","0.967","0.0112","0.2793","0.3027","0.1072","59711.69","0.2578","0.0938","0.6484","16.8","77069.58","89.59","335079.32","0.7663","0.2054","0.0283","0.2337","335.08","7860.61","667.44","269118.66","583.0","26443.0","56422.0","26.37","23.33","23.55","4.5","0.0","1.0798","1941.73","2178.78","6550.76","487.05","276.97","11435.26","3622.15","0.2958","5832.84","0.4764","1344.73","0.1098","1444.17","0.1179","12243.89","3275.17","0.6917","0.5885","0.2322","0.1299","0.0307","0.0187"
"East Knox Local SD, Knox","47845.0","107.0","11.46","1226.59","883.96","0.0023","0.0","0.0132","0.0","0.0088","0.9429","0.0328","0.4214","0.0","0.1483","39728.8","0.5857","0.0429","0.3714","6.1","79915.25","191.29","224401.67","0.9403","0.029","0.0307","0.0597","224.4","6113.3","755.23","212734.12","532.0","35196.0","56766.0","46.0","26.58","28.83","4.5","0.0","1.0556","1611.4","2279.57","5295.71","697.98","198.52","10083.15","5398.23","0.3898","6313.5","0.4559","1001.83","0.0723","1135.91","0.082","13849.47","1346.26","0.3353","0.4051","0.1825","0.3577","0.038","0.0167"
"East Liverpool City SD, Columbiana","43919.0","14.0","166.77","2334.84","2100.81","0.0028","0.0005","0.0504","0.0022","0.0133","0.8628","0.068","0.9843","0.0005","0.1731","51842.2","0.5197","0.0461","0.4342","22.3","65141.48","104.51","69297.16","0.7412","0.1668","0.0919","0.2588","69.3","1959.86","314.48","59724.39","20.0","27046.0","40051.0","34.1","27.19","29.91","4.2","0.0","0.6843","1159.14","2600.99","7382.48","834.28","531.89","12508.77","10539.77","0.7132","1902.04","0.1287","497.96","0.0337","1839.31","0.1245","14779.08","7956.96","4.3093","0.4806","0.2587","0.2122","0.0402","0.0083"
"East Muskingum Local SD, Muskingum","48835.0","192.0","10.71","2055.37","2061.09","0.0082","0.0005","0.0078","0.0005","0.0128","0.9474","0.0228","0.3355","0.0006","0.1225","52844.0","0.2598","0.1181","0.622","22.4","67133.14","88.11","151925.66","0.6912","0.1394","0.1694","0.3088","151.93","3890.24","375.37","144367.23","351.0","36961.0","57285.0","34.75","23.4","25.43","4.15","0.0","0.6573","1297.26","1933.06","5703.47","241.18","176.61","9351.58","5011.39","0.4996","3226.55","0.3216","1189.98","0.1186","603.35","0.0601","10031.27","4353.56","1.3009","0.537","0.2256","0.1965","0.0277","0.0132"
"East Palestine City SD, Columbiana","43927.0","31.0","40.05","1241.65","1043.99","0.0019","0.0009","0.0082","0.001","0.0216","0.9498","0.0166","0.4965","0.0038","0.1437","90311.78","0.4245","0.1321","0.4434","2.2","258424.55","554.69","104661.43","0.8118","0.1147","0.0735","0.1882","104.66","2365.03","371.71","97232.98","116.0","30279.0","45676.0","24.0","22.48","22.51","0.0","0.0","0.6868","1202.56","2220.83","6355.4","610.27","255.36","10644.36","8297.37","0.6681","2303.53","0.1855","993.53","0.08","824.35","0.0664","12418.79","4973.18","1.9301","0.4588","0.2506","0.2386","0.0239","0.0282"
"Eastern Local SD, Brown","46037.0","143.0","9.66","1381.44","1261.23","0.0008","0.0015","0.0076","0.0","0.0053","0.9695","0.0153","0.491","0.0","0.124","55180.97","0.241","0.1446","0.6145","7.0","84527.71","188.41","145594.97","0.8992","0.0328","0.068","0.1008","145.59","3366.71","472.9","131417.69","277.0","31874.0","46536.0","36.7","22.0","25.78","4.5","0.0","1.1292","1461.79","2300.44","6362.76","366.33","57.02","10548.36","6593.66","0.5535","3013.67","0.253","1230.86","0.1033","1073.55","0.0901","11911.73","4682.58","2.0725","0.4475","0.2097","0.2817","0.0464","0.0147"
"Eastern Local SD, Meigs","48512.0","116.0","6.9","800.83","807.12","0.0037","0.0","0.0","0.0","0.0155","0.9696","0.0112","0.5366","0.0","0.1144","45736.55","0.2105","0.0877","0.7018","11.0","46165.09","72.8","117307.12","0.7564","0.0324","0.2112","0.2436","117.31","2346.14","315.9","92798.72","99.0","33114.0","48008.0","20.0","20.0","20.0","4.0","0.0","0.6227","1413.91","2090.23","5746.88","576.17","137.33","9964.5","8372.33","0.6674","1924.01","0.1534","1331.06","0.1061","916.4","0.0731","12543.79","8224.66","3.6042","0.5148","0.2566","0.1824","0.0307","0.0155"
"Eastern Local SD, Pike","49122.0","87.0","10.32","897.96","848.52","0.0094","0.0","0.0093","0.0","0.013","0.9532","0.0152","0.9906","0.0","0.1989","53125.1","0.2933","0.3067","0.4","2.0","90898.5","419.94","72403.27","0.852","0.0327","0.1153","0.148","72.4","1658.62","208.76","62809.59","25.0","29734.0","43736.0","29.0","22.0","25.08","3.6","0.0","0.8134","1492.44","2584.37","8037.44","632.87","121.11","12868.18","12187.29","0.7248","1390.83","0.0827","1610.05","0.0957","1627.48","0.0968","16815.65","11351.96","7.1856","0.5192","0.2394","0.1935","0.0395","0.0084"
"Eastwood Local SD, Wood","50674.0","105.0","13.53","1420.65","1384.67","0.0068","0.0007","0.0179","0.0014","0.0521","0.9138","0.0072","0.2308","0.0022","0.1085","61438.74","0.1635","0.1731","0.6635","15.8","79122.71","85.25","213613.49","0.7153","0.0629","0.2219","0.2847","213.61","5314.5","439.83","178818.12","465.0","37731.0","58031.0","34.1","22.04","24.62","5.0","1398.77","1.1928","1932.37","2087.62","6789.09","420.77","301.36","11531.26","4950.12","0.3636","6298.13","0.4627","1818.04","0.1336","546.17","0.0401","13612.46","3944.92","1.0508","0.5358","0.2366","0.0996","0.041","0.087"
"Eaton Community Schools City, Preble","43935.0","117.0","19.42","2272.64","1955.05","0.0119","0.0025","0.0067","0.0005","0.0159","0.9284","0.034","0.4005","0.0064","0.0994","56252.09","0.2681","0.1377","0.5942","11.0","90550.0","196.85","140540.69","0.8188","0.1508","0.0303","0.1812","140.54","3234.39","522.64","129625.56","268.0","31915.0","49198.0","34.98","22.38","24.05","3.4","1865.38","1.6244","1548.22","2234.86","5899.49","601.48","157.61","10441.65","5910.01","0.4678","5183.21","0.4102","735.0","0.0582","806.23","0.0638","12634.44","3729.41","1.383","0.541","0.2071","0.1623","0.0381","0.0515"
"Edgerton Local SD, Williams","50617.0","69.0","8.79","606.71","563.88","0.002","0.0","0.0102","0.0029","0.0486","0.9328","0.0035","0.3933","0.0","0.0986","47953.55","0.1731","0.1923","0.6346","4.1","77832.15","138.93","149523.83","0.8563","0.1024","0.0413","0.1437","149.52","3654.28","516.53","127647.53","255.0","33390.0","49190.0","41.5","23.0","29.58","4.0","1334.13","1.3269","1710.79","2178.2","5810.55","563.13","317.99","10580.65","7207.88","0.518","4445.35","0.3195","1249.34","0.0898","1010.93","0.0727","13913.5","6360.74","2.2606","0.5569","0.2397","0.1624","0.0261","0.0149"
