"District","IRN","District Square Mileage FY13","District Pupil Density FY13","District Total Average Daily Membership FY13","District Total Year-End Enrollment FY13","District Asian Students As % Of Total FY13","District Black Students As % Of Total FY13","District American Indian/ Alaskan Native Students As % Of Total FY13","District Hispanic Students As % Of Total FY13","District White Students As % Of Total FY13","District Multiracial Students As % Of Total FY13","District Percent Of Students In Poverty FY13","District Percent Of Students With Limited English Proficiency FY13","District Percent Of Students With Disability FY13","District Classroom Teacher Average Salary FY13","District Percent Of Teachers With 0-4 Years Experience FY13","District Percent Of Teachers With 4-10 Years Experience FY13","District Percent Of Teachers With 10+ Years Experience FY13","District K-12 Regular Education Pupil Teacher Ratio FY08","District FTE Number Of Administrators FY13","District Administrator Average Salary FY13","District Pupil Administrator Ratio FY13","District Assessed Valuation Per Pupil FY14","District Res/Agr Real Valuation As % Of Total FY14","District All Other Real Valuation As % Of Total FY14","District Public Utility Tangible Valuation As % Of Total FY14","District Business Valuation As % Of Total FY14","District Per Pupil Revenue Raised By 1 Mill Of Property Tax FY14","District Total Property Tax Per Pupil FY14","District Rollback Homestead Per Pupil FY13","District OSFC 3-Year Valuation Per Pupil FY14","District Ranking Of OSFC Valuation Per Pupil FY14","District Median Income TY11","District Average Income TY11","District Current Operating Millage Incl JVS FY14","District Class 1 Effective Millage Incl JVS FY14","District Class 2 Effective Millage Incl JVS FY14","District Inside Millage FY14","District Income Tax Per Pupil FY13","District Local Tax Effort Index FY13","District Administrative Expenditure Per Pupil FY13","District Building Operation Expenditure Per Pupil FY13","District Instructional Expenditure Per Pupil FY13","District Pupil Support Expenditure Per Pupil FY13","District Staff Support Expenditure Per Pupil FY13","District Total Expenditure Per Pupil FY13","District State Revenue Per Pupil FY13","District State Revenue As % Of Total FY13","District Local Revenue Per Pupil FY13","District Local Revenue As % Of Total FY13","District Other Non-Tax Revenue Per Pupil FY13","District Othe Non-Tax Revenue as % of Total FY13","District Federal Revenue Per Pupil FY13","District Federal Revenue As % Of Total FY13","District Total Revenue Per Pupil FY13","District Formula Funding Per Pupil FY13","District Formula Funding As % Of Income Tax Liability FY13","District Salaries As % Of Operating Expenditures FY13","District Fringe Benefits As % Of Operating Expenditures FY13","District Purchased Services As % Of Operating Expenditures FY13","District Supplies & Materials As % Of Operating Expenditures FY13","District Other Expenses As % Of Operating Expenditures FY13"
"Toronto City SD, Jefferson","44917.0","5.0","151.65","758.27","791.68","0.0022","0.0242","0.0013","0.0032","0.9294","0.0397","0.6182","0.0","0.1449","41184.12","0.2055","0.1233","0.6712","14.45","6.2","70127.13","118.12","84207.62","0.7753","0.1556","0.0692","0.2247","84.21","2163.89","394.3","88886.4","101.0","28274.0","40615.0","39.04","23.24","32.01","5.15","0.0","0.5119","1631.81","1598.37","5326.85","294.42","175.5","9027.0","5477.71","0.5725","1787.93","0.1869","1350.49","0.1411","951.68","0.0995","9567.81","4763.7","1.5322","0.5583","0.259","0.1438","0.0282","0.0108"
"Tri-County North Local SD, Preble","91397.0","58.0","17.86","1035.91","1028.95","0.0061","0.0047","0.001","0.0068","0.9674","0.0139","0.4205","0.0","0.1038","51974.26","0.1538","0.1648","0.6813","16.94","7.3","75746.58","130.5","115596.92","0.8235","0.1236","0.0529","0.1765","115.6","4346.56","531.38","132072.59","339.0","31745.0","44481.0","44.13","36.58","41.59","4.4","0.0","1.2919","1193.25","1626.22","5518.88","552.69","360.94","9252.0","4342.58","0.4769","3415.52","0.3751","724.95","0.0796","623.05","0.0684","9106.1","2841.75","0.9386","0.5706","0.2334","0.1553","0.025","0.0157"
"Tri-Valley Local SD, Muskingum","48876.0","230.0","13.27","3052.72","3023.69","0.0049","0.0107","0.0011","0.0052","0.9487","0.0295","0.4145","0.0003","0.153","81154.37","0.2584","0.1742","0.5674","21.78","14.5","89893.24","205.39","106209.5","0.7552","0.1639","0.0809","0.2448","106.21","2618.11","311.19","107104.37","205.0","30520.0","45582.0","38.75","23.66","22.26","4.45","0.0","0.7807","1225.02","1757.12","5280.5","286.7","22.67","8572.0","5670.08","0.634","2283.82","0.2554","274.04","0.0306","715.59","0.08","8943.53","4760.57","1.6397","0.5541","0.227","0.1106","0.0394","0.069"
"Tri-Village Local SD, Darke","46680.0","86.0","8.67","745.3","764.93","0.0013","0.0036","0.0055","0.0085","0.955","0.026","0.4499","0.0","0.1096","45281.34","0.1569","0.3137","0.5294","16.59","7.2","57450.0","99.49","121505.37","0.8161","0.0359","0.148","0.1839","121.51","2825.97","381.46","115454.71","257.0","31124.0","42368.0","27.68","22.45","23.41","4.8","1540.97","1.619","1083.14","1806.38","4704.53","543.35","246.64","8384.0","3959.92","0.3993","3742.15","0.3773","1471.86","0.1484","744.19","0.075","9918.12","3895.18","1.4143","0.5525","0.2287","0.1516","0.0377","0.0295"
"Triad Local SD, Champaign","46201.0","83.0","11.86","984.47","978.14","0.0018","0.0041","0.0015","0.013","0.9575","0.0221","0.3733","0.0","0.1283","49515.0","0.15","0.2875","0.5625","17.75","10.24","58232.6","94.46","104438.16","0.9111","0.0461","0.0428","0.0889","104.44","2350.72","310.03","104827.72","191.0","34458.0","47692.0","27.6","22.09","26.05","5.0","1732.6","1.4528","1190.67","2080.33","5011.31","238.26","333.45","8854.0","5496.51","0.5062","3684.11","0.3393","1061.0","0.0977","617.29","0.0568","10858.92","4367.97","1.4275","0.5477","0.1848","0.2193","0.0345","0.0135"
"Trimble Local SD, Athens","45922.0","39.0","21.24","828.27","859.72","0.0012","0.0062","0.0","0.0","0.9794","0.0132","0.6604","0.0012","0.2308","53107.11","0.1324","0.1324","0.7353","15.89","6.5","61981.69","121.99","48414.91","0.862","0.0604","0.0776","0.138","48.41","1125.42","187.38","44924.04","3.0","26780.0","34479.0","30.7","22.58","23.2","3.9","0.0","0.6759","1239.15","2281.61","6260.44","484.51","537.23","10803.0","8239.65","0.663","875.5","0.0704","1087.25","0.0875","2225.59","0.1791","12427.99","8490.06","5.9008","0.5527","0.2204","0.1445","0.0435","0.0388"
"Triway Local SD, Wayne","50591.0","97.0","18.72","1815.48","1785.63","0.0085","0.0027","0.0017","0.0129","0.9562","0.018","0.3832","0.0095","0.1143","51162.89","0.1463","0.2033","0.6504","17.66","11.0","67800.45","159.02","139552.48","0.8114","0.1281","0.0605","0.1886","139.55","4117.86","476.71","138181.69","376.0","32135.0","48639.0","50.5","27.59","31.74","4.4","93.21","0.9178","1011.21","1751.2","5998.21","324.65","103.74","9189.0","4638.34","0.4792","3472.35","0.3587","871.67","0.0901","696.69","0.072","9679.05","3764.41","0.9326","0.5698","0.264","0.1198","0.0291","0.0173"
"Trotwood-Madison City SD, Montgomery","48694.0","31.0","110.23","3417.24","2482.31","0.0024","0.8878","0.0004","0.0142","0.0668","0.0284","0.8436","0.0032","0.1509","54147.12","0.106","0.1987","0.6954","18.99","12.0","93760.83","279.48","68074.6","0.7055","0.2556","0.0389","0.2945","68.07","2870.15","479.77","76255.14","58.0","23890.0","33858.0","51.52","40.16","46.26","6.2","0.0","1.1735","1731.22","2175.09","5043.53","656.19","487.97","10094.0","9236.71","0.6462","2865.74","0.2005","382.08","0.0267","1809.03","0.1266","14293.56","4324.76","2.551","0.4586","0.1488","0.2951","0.0212","0.0764"
"Troy City SD, Miami","44925.0","39.0","120.55","4701.64","4362.06","0.0298","0.0467","0.0009","0.0199","0.8363","0.0665","0.4596","0.0156","0.1091","57482.44","0.2113","0.2415","0.5472","19.82","25.0","92987.88","180.38","141144.52","0.7253","0.2465","0.0281","0.2747","141.14","3893.09","397.42","150481.3","423.0","34042.0","53561.0","54.1","24.26","34.34","4.5","2008.64","1.2313","1219.41","1629.6","5966.78","432.67","280.53","9529.0","3453.02","0.3288","5462.5","0.5201","797.49","0.0759","789.77","0.0752","10502.76","1539.79","0.3259","0.5706","0.2475","0.144","0.0249","0.013"
"Tuscarawas Valley Local SD, Tuscarawas","50302.0","95.0","16.9","1605.13","1512.21","0.0039","0.007","0.0007","0.0091","0.9585","0.0209","0.297","0.0033","0.1165","47715.46","0.2136","0.2816","0.5049","17.46","9.2","54760.43","166.44","127746.21","0.8288","0.1097","0.0615","0.1712","127.75","3829.75","481.67","135785.91","361.0","35004.0","50390.0","36.0","29.56","29.76","5.0","0.0","0.8466","1136.94","1612.53","4863.25","227.85","240.42","8081.0","4296.17","0.4815","3407.77","0.3819","680.8","0.0763","538.07","0.0603","8922.81","2890.94","0.6885","0.5447","0.2113","0.153","0.0452","0.0458"
"Tuslaw Local SD, Stark","49957.0","45.0","30.17","1357.74","1424.56","0.0021","0.0039","0.0","0.0066","0.9753","0.0121","0.2764","0.0021","0.1421","52447.52","0.1591","0.1705","0.6705","22.24","9.76","82405.16","132.2","125578.9","0.8661","0.0715","0.0624","0.1339","125.58","4252.66","586.0","136804.72","368.0","35262.0","52225.0","63.2","31.02","42.76","5.6","0.0","0.83","963.05","1785.84","4538.49","414.29","274.34","7976.0","4455.96","0.4637","3368.71","0.3505","1203.77","0.1253","582.13","0.0606","9610.57","4452.35","0.8858","0.5928","0.2064","0.1537","0.034","0.0132"
"Twin Valley Community Local, Preble","49296.0","60.0","15.69","941.1","882.34","0.0031","0.0035","0.0","0.0038","0.9722","0.0174","0.4353","0.0034","0.1172","47240.0","0.1333","0.1867","0.68","18.12","5.83","63689.11","155.37","115007.71","0.8707","0.0525","0.0768","0.1293","115.01","3085.27","423.97","121325.73","293.0","32491.0","45207.0","39.98","25.45","30.34","4.4","798.42","1.2472","1524.62","2064.37","5553.9","213.21","266.9","9623.0","4900.5","0.479","3472.73","0.3395","1051.69","0.1028","805.37","0.0787","10230.29","3833.16","1.2402","0.5411","0.2405","0.1699","0.0289","0.0196"
"Twinsburg City SD, Summit","50070.0","23.0","188.54","4336.45","4231.9","0.0714","0.229","0.002","0.0235","0.6294","0.0447","0.175","0.0269","0.0947","71161.78","0.6652","0.1607","0.1741","21.4","20.44","89609.96","210.25","179630.89","0.7136","0.2662","0.0202","0.2864","179.63","7268.14","700.77","213661.57","541.0","45487.0","66371.0","63.0","38.11","45.06","4.97","0.0","0.6798","1418.38","1660.15","5703.31","557.05","113.1","9452.0","3091.03","0.3074","5984.15","0.5951","572.78","0.057","407.44","0.0405","10055.4","780.62","0.133","0.6155","0.241","0.0945","0.0252","0.0238"
"Union Local SD, Belmont","46011.0","148.0","9.28","1373.66","1524.63","0.0002","0.0035","0.0","0.002","0.986","0.0084","0.3416","0.0","0.1398","48301.65","0.02","0.18","0.8","14.91","18.33","50757.36","72.96","116622.83","0.7889","0.155","0.0561","0.2111","116.62","2641.04","321.07","95543.62","138.0","31769.0","50274.0","29.95","22.2","22.28","4.65","0.0","0.5236","930.41","1500.11","5242.67","370.69","197.12","8241.0","5577.03","0.5829","1972.93","0.2062","1133.02","0.1184","884.08","0.0924","9567.06","6159.35","1.4671","0.5483","0.2679","0.1269","0.0359","0.021"
"Union Scioto Local SD, Ross","49536.0","63.0","30.23","1904.51","2207.28","0.0077","0.0254","0.0023","0.019","0.885","0.0607","0.5235","0.0018","0.1297","52670.93","0.5042","0.1429","0.3529","22.51","8.0","87359.0","228.91","96673.01","0.8514","0.1122","0.0364","0.1486","96.67","2242.23","281.83","81776.6","77.0","32018.0","49862.0","36.0","22.66","23.11","4.5","608.11","0.9161","1131.95","1462.71","4854.11","228.66","188.59","7866.0","4684.53","0.503","2044.06","0.2195","1877.42","0.2016","707.76","0.076","9313.77","5763.94","1.668","0.5626","0.2145","0.1611","0.0446","0.0173"
"United Local SD, Columbiana","46458.0","81.0","15.58","1262.16","1315.67","0.0038","0.0045","0.0","0.0061","0.9705","0.0151","0.4582","0.0","0.1463","46882.28","0.25","0.1771","0.5729","18.66","15.3","58798.45","80.8","103639.55","0.8754","0.0523","0.0723","0.1246","103.64","2339.39","320.15","101419.98","168.0","32332.0","48434.0","29.4","22.03","22.29","3.3","629.21","0.924","1220.69","1747.12","4770.33","336.61","366.26","8441.0","5426.53","0.5639","2408.18","0.2503","1090.86","0.1134","696.99","0.0724","9622.57","5568.71","1.5712","0.5484","0.2371","0.1544","0.0405","0.0197"
"Upper Arlington City SD, Franklin","44933.0","10.0","587.35","5873.47","5625.44","0.0607","0.0089","0.0007","0.0129","0.8856","0.0313","0.0191","0.0133","0.1144","77679.48","0.1565","0.2012","0.6423","14.59","23.8","101848.74","246.78","268528.23","0.9027","0.0825","0.0148","0.0973","268.53","12112.13","1610.08","302693.25","596.0","60889.0","124020.0","98.11","43.85","49.37","5.65","0.0","0.6622","1530.69","1804.56","9612.77","987.33","944.64","14880.0","2210.6","0.1536","10919.08","0.7585","953.97","0.0663","311.9","0.0217","14395.54","427.28","0.0288","0.6426","0.2167","0.1031","0.0236","0.014"
"Upper Sandusky Ex Vill SD, Wyandot","45625.0","214.0","8.07","1726.78","1656.21","0.008","0.0027","0.0024","0.0533","0.9094","0.0242","0.3999","0.0145","0.1414","54279.84","0.1353","0.188","0.6767","19.77","11.0","73086.45","153.63","135187.55","0.7855","0.1767","0.0379","0.2145","135.19","3023.5","326.52","130370.03","328.0","29794.0","43442.0","35.3","21.6","23.0","4.8","1698.79","1.4565","1372.92","1682.64","5285.39","469.79","437.26","9248.0","3913.31","0.3911","4409.22","0.4407","1091.68","0.1091","591.25","0.0591","10005.46","3027.6","0.8197","0.5543","0.241","0.1353","0.0338","0.0356"
"Upper Scioto Valley Local SD, Hardin","47522.0","98.0","7.31","716.72","588.81","0.0","0.0072","0.002","0.0123","0.9489","0.0295","0.5266","0.0","0.1986","42168.66","0.2727","0.3182","0.4091","17.3","7.6","30651.55","90.56","114238.7","0.9158","0.027","0.0572","0.0842","114.24","2913.15","410.4","92016.54","125.0","29247.0","39037.0","31.8","25.1","25.74","3.6","505.17","1.5585","1396.57","2453.3","4398.51","487.33","309.23","9045.0","7803.4","0.611","3536.59","0.2769","637.51","0.0499","793.77","0.0622","12771.26","4721.88","1.983","0.4254","0.2132","0.3122","0.0296","0.0196"
"Urbana City SD, Champaign","44941.0","53.0","44.67","2367.32","2137.34","0.0044","0.0442","0.0009","0.0153","0.8587","0.0764","0.5169","0.0","0.1936","57651.53","0.1596","0.2181","0.6223","15.86","11.49","81025.46","202.27","109300.15","0.7291","0.2252","0.0457","0.2709","109.3","4239.42","469.22","111987.25","235.0","27276.0","43252.0","66.55","34.85","45.9","3.9","0.0","1.146","1177.28","1529.94","6557.77","557.48","176.54","9999.0","5707.78","0.4942","3975.49","0.3442","871.61","0.0755","993.58","0.086","11548.46","2594.23","0.8013","0.5084","0.2016","0.1706","0.0249","0.0945"
"Valley Local SD, Scioto","49643.0","49.0","20.21","990.5","1005.1","0.001","0.0047","0.0","0.0058","0.9686","0.02","0.6588","0.0","0.1647","54393.29","0.3333","0.1739","0.4928","16.64","6.2","71780.81","154.3","71087.03","0.8537","0.0729","0.0734","0.1463","71.09","1613.54","237.2","67533.4","36.0","31600.0","47688.0","29.58","22.04","23.44","4.21","0.0","0.6005","1174.11","2356.01","6125.63","426.04","272.23","10354.0","7502.14","0.6438","1300.98","0.1117","1628.25","0.1397","1220.79","0.1048","11652.16","7158.57","2.9681","0.5397","0.2159","0.151","0.0344","0.059"
"Valley View Local SD, Montgomery","48744.0","61.0","32.07","1956.15","1762.86","0.0067","0.005","0.0024","0.0131","0.9576","0.0151","0.2507","0.004","0.13","59937.66","0.3197","0.2213","0.459","17.64","10.85","76270.79","177.85","113153.89","0.8877","0.056","0.0563","0.1123","113.15","2652.89","379.97","119857.64","286.0","36360.0","53545.0","31.14","22.91","24.17","4.46","1565.16","1.1807","912.27","1729.86","6209.38","793.91","254.57","9900.0","4865.64","0.4861","3970.45","0.3967","654.03","0.0653","519.26","0.0519","10009.38","3677.35","0.9896","0.5999","0.2179","0.1036","0.0385","0.0401"
"Van Buren Local SD, Hancock","47464.0","48.0","19.8","950.39","1036.92","0.0194","0.0078","0.001","0.0295","0.9256","0.0167","0.1711","0.0019","0.0746","50864.73","0.2192","0.2055","0.5753","17.84","10.17","70907.86","93.45","237609.32","0.5791","0.3851","0.0358","0.4209","237.61","6792.26","613.16","226156.39","560.0","43215.0","70644.0","35.58","25.4","32.72","5.3","0.0","0.4817","1342.3","2001.6","5928.33","447.82","181.93","9902.0","2915.55","0.2858","5417.05","0.531","1504.66","0.1475","363.94","0.0357","10201.2","664.44","0.092","0.5282","0.2183","0.1868","0.0411","0.0257"
"Van Wert City SD, Van Wert","44966.0","71.0","31.86","2262.14","1930.1","0.0085","0.0108","0.0015","0.0343","0.9076","0.0373","0.5118","0.0016","0.1618","51660.09","0.1838","0.1029","0.7132","16.49","10.0","77636.1","218.01","98506.49","0.7885","0.1736","0.0378","0.2115","98.51","2719.94","414.32","98396.32","154.0","27849.0","40130.0","47.1","23.08","43.92","4.3","1011.87","1.2358","1322.74","1644.29","6341.92","715.52","428.53","10453.0","5468.64","0.4781","3723.75","0.3256","1222.19","0.1069","1023.63","0.0895","11438.21","3445.42","1.2454","0.551","0.2161","0.1926","0.0249","0.0154"
"Vandalia-Butler City SD, Montgomery","44958.0","37.0","90.71","3356.16","3183.72","0.0183","0.0524","0.0025","0.0217","0.8432","0.0619","0.3159","0.0082","0.1593","59352.11","0.1239","0.1947","0.6814","16.89","28.03","81887.48","117.49","174717.32","0.7157","0.2637","0.0206","0.2843","174.72","6491.85","833.77","196232.95","519.0","34764.0","59302.0","52.12","36.64","37.4","6.46","0.0","0.8357","1159.52","1437.39","6295.86","849.1","420.12","10162.0","2880.47","0.2926","5411.43","0.5498","624.88","0.0635","925.95","0.0941","9842.73","918.7","0.1428","0.5452","0.2558","0.1547","0.0198","0.0244"
"Vanlue Local SD, Hancock","47472.0","48.0","5.13","246.0","241.84","0.0165","0.0124","0.0","0.0569","0.8854","0.0288","0.3182","0.0","0.1575","39179.64","0.3846","0.3077","0.3077","15.67","5.16","55300.62","47.67","146487.68","0.9495","0.0241","0.0264","0.0505","146.49","4282.58","605.79","132311.42","341.0","37054.0","56698.0","39.97","28.94","29.18","6.0","1855.87","1.2852","1749.88","2299.59","5415.17","381.92","514.25","10361.0","6460.04","0.4384","5821.43","0.3951","1739.17","0.118","714.43","0.0485","14735.07","4991.36","0.9404","0.4726","0.1863","0.2785","0.0374","0.0252"
"Vermilion Local SD, Erie","46821.0","30.0","71.29","2138.78","2002.92","0.0048","0.0074","0.0028","0.0302","0.9447","0.01","0.3566","0.0025","0.161","55009.73","0.2541","0.2049","0.541","16.77","17.6","66300.35","118.08","195617.36","0.7783","0.1242","0.0975","0.2217","195.62","8059.86","739.9","209847.21","534.0","32160.0","49876.0","72.07","34.71","57.68","3.9","0.0","1.4238","1268.33","2163.42","5733.25","530.51","1015.48","10711.0","3249.02","0.2698","7376.07","0.6124","786.12","0.0653","632.58","0.0525","12043.79","1859.75","0.4091","0.5832","0.2058","0.1499","0.033","0.028"
"Versailles Ex Vill SD, Darke","45633.0","76.0","18.57","1411.68","1328.23","0.0","0.0011","0.0007","0.0","0.9908","0.0074","0.175","0.0","0.0699","56228.85","0.2933","0.1867","0.52","17.75","16.53","41171.57","84.19","95666.41","0.8553","0.1336","0.0111","0.1447","95.67","2212.99","336.83","95901.1","139.0","34229.0","53253.0","40.18","22.44","26.12","4.8","860.18","0.9828","1188.2","1485.21","4679.15","251.05","77.4","7681.0","4938.62","0.5499","2817.95","0.3138","837.21","0.0932","386.92","0.0431","8980.69","4248.44","1.2089","0.6131","0.2261","0.104","0.0286","0.0281"
"Vinton County Local SD, Vinton","50393.0","416.0","5.47","2273.91","2185.67","0.0004","0.0046","0.0003","0.0043","0.9824","0.0079","0.8281","0.0","0.1822","47080.77","0.1366","0.2514","0.612","15.01","19.0","65062.37","116.38","85404.2","0.755","0.07","0.175","0.245","85.4","1767.87","243.31","76715.82","60.0","27533.0","37409.0","20.7","20.7","20.7","3.2","0.0","0.7975","1296.94","2503.27","6154.24","556.3","457.25","10968.0","7885.66","0.6753","1489.4","0.1276","766.53","0.0656","1535.39","0.1315","11676.98","7103.42","4.0431","0.5254","0.2932","0.1196","0.0391","0.0227"
"Wadsworth City SD, Medina","44974.0","32.0","150.42","4813.55","4726.52","0.01","0.0057","0.0013","0.0163","0.9455","0.0211","0.2238","0.0015","0.1048","63820.93","0.1559","0.1787","0.6654","20.0","16.2","93434.14","297.13","130720.11","0.7918","0.1822","0.0261","0.2082","130.72","4375.68","679.69","143316.14","399.0","37720.0","57141.0","68.3","31.85","35.55","5.1","0.0","0.7494","1077.76","1416.15","4832.68","744.44","141.98","8213.0","3828.87","0.429","3999.42","0.4481","652.66","0.0731","443.9","0.0497","8924.85","2893.9","0.6669","0.6004","0.2087","0.1447","0.0345","0.0116"
"Walnut Township Local SD, Fairfield","46904.0","26.0","21.98","571.57","584.31","0.0","0.005","0.0017","0.0018","0.9774","0.014","0.4799","0.0","0.143","47715.44","0.2593","0.3519","0.3889","17.47","8.75","50743.2","64.04","243583.32","0.8576","0.0506","0.0918","0.1424","243.58","6466.03","760.11","226789.83","564.0","31607.0","45913.0","33.7","25.82","25.8","4.8","1849.1","2.1659","1880.74","2389.36","6605.14","371.99","326.82","11574.0","3062.99","0.2472","7141.15","0.5763","1243.47","0.1003","944.55","0.0762","12392.16","2321.44","0.5715","0.5207","0.2256","0.1841","0.0314","0.0381"
"Wapakoneta City SD, Auglaize","44982.0","148.0","22.0","3255.37","3078.49","0.0052","0.0024","0.0016","0.0167","0.9604","0.0136","0.4435","0.0032","0.1502","55920.69","0.1848","0.163","0.6522","19.3","16.5","72459.03","192.67","104397.78","0.8047","0.1694","0.0259","0.1953","104.4","2284.85","343.33","105147.65","192.0","31398.0","44293.0","27.2","21.7","21.94","4.55","511.26","0.8432","950.98","1468.69","4471.7","326.14","322.48","7540.0","4721.56","0.5617","2567.86","0.3055","545.2","0.0649","571.55","0.068","8406.17","3429.06","1.0961","0.5351","0.1962","0.2259","0.0325","0.0103"
"Warren City SD, Trumbull","44990.0","16.0","395.77","6332.38","5187.53","0.0017","0.3805","0.0004","0.0221","0.468","0.1272","0.9969","0.005","0.1763","50686.07","0.2779","0.1191","0.603","19.56","51.5","76235.15","120.74","52158.05","0.6737","0.2632","0.0632","0.3263","52.16","2358.09","384.34","50929.05","8.0","21523.0","33880.0","57.0","43.64","46.4","4.7","0.0","1.1568","2035.27","2609.37","6692.55","476.47","344.35","12158.0","8871.76","0.644","2216.45","0.1609","476.07","0.0346","2212.38","0.1606","13776.66","5307.48","3.127","0.5094","0.1905","0.2412","0.035","0.0238"
"Warren Local SD, Washington","50500.0","196.0","12.12","2376.36","2287.79","0.0024","0.0096","0.0009","0.0082","0.9644","0.0145","0.3451","0.0","0.1019","53339.11","0.1615","0.0923","0.7462","20.34","13.5","58129.56","170.7","97388.34","0.8319","0.116","0.0521","0.1681","97.39","2805.23","342.69","101791.94","171.0","32465.0","49569.0","36.65","28.0","31.08","3.5","0.0","0.7352","866.12","1705.14","4856.37","234.19","342.17","8004.0","5366.21","0.5809","2435.78","0.2637","847.27","0.0917","587.99","0.0637","9237.26","4335.46","1.2509","0.5113","0.2429","0.1786","0.0489","0.0183"
"Warrensville Heights City SD, Cuyahoga","45005.0","8.0","271.67","2173.34","1657.26","0.0017","0.9796","0.0","0.0066","0.0045","0.0076","0.5933","0.0","0.2144","65482.43","0.2797","0.2542","0.4661","17.22","23.22","74154.83","93.6","180954.35","0.2263","0.7449","0.0288","0.7737","180.95","10618.22","555.71","167806.94","464.0","25218.0","37517.0","81.1","53.45","59.4","5.1","0.0","1.1816","3496.09","3381.63","8640.12","509.61","803.51","16831.0","8339.64","0.3837","11360.33","0.5227","257.95","0.0119","1775.05","0.0817","21732.96","3347.38","1.8463","0.5182","0.1761","0.2371","0.0203","0.0482"
"Washington Court House City, Fayette","45013.0","5.0","463.22","2316.12","2209.27","0.0123","0.0307","0.0005","0.0194","0.8828","0.0544","0.6202","0.0063","0.1787","47763.39","0.25","0.1286","0.6214","17.46","17.55","72732.54","128.91","87424.24","0.7198","0.2547","0.0256","0.2802","87.42","2152.7","334.49","91283.74","120.0","24040.0","36176.0","39.05","24.35","23.96","2.7","0.0","0.8981","1111.46","1598.74","5017.73","335.14","440.92","8504.0","5683.67","0.6076","1742.98","0.1863","873.35","0.0934","1054.74","0.1127","9354.74","4805.3","2.2838","0.5947","0.1941","0.1505","0.0365","0.0241"
